Metric,2023-24,school
unit_multiplier,1000.0,BRADLEY_UNIVERSITY
gross_tuition_revenue,,BRADLEY_UNIVERSITY
financial_aid,83448.0,BRADLEY_UNIVERSITY
net_tuition_revenue,84568.0,BRADLEY_UNIVERSITY
government_grants_contracts_total,5557.0,BRADLEY_UNIVERSITY
private_gifts_grants_contracts,1367.0,BRADLEY_UNIVERSITY
total_gifts_contracts_other_support,6924.0,BRADLEY_UNIVERSITY
state_appropriations,4383.0,BRADLEY_UNIVERSITY
private_gifts_with_donor_restrictions,10017.0,BRADLEY_UNIVERSITY
investment_income_operations,18423.0,BRADLEY_UNIVERSITY
investment_income_total,48947.0,BRADLEY_UNIVERSITY
investment_income_with_donor_restrictions,787.0,BRADLEY_UNIVERSITY
auxiliary_enterprise_revenue,25659.0,BRADLEY_UNIVERSITY
healthcare_clinical_revenue,,BRADLEY_UNIVERSITY
net_assets_released_from_restrictions,5327.0,BRADLEY_UNIVERSITY
other_operating_rev,4435.0,BRADLEY_UNIVERSITY
total_operating_revenue,145304.0,BRADLEY_UNIVERSITY
instructional_expense,,BRADLEY_UNIVERSITY
research_expense,,BRADLEY_UNIVERSITY
instructional_research_expense,54805.0,BRADLEY_UNIVERSITY
auxiliary_enterprise_expense,,BRADLEY_UNIVERSITY
healthcare_clinical_expense,,BRADLEY_UNIVERSITY
academic_support,,BRADLEY_UNIVERSITY
student_services,,BRADLEY_UNIVERSITY
institutional_support,17041.0,BRADLEY_UNIVERSITY
public_service_expense,,BRADLEY_UNIVERSITY
student_aid_expense,,BRADLEY_UNIVERSITY
total_operating_expense,155387.0,BRADLEY_UNIVERSITY
net_operating_income,-10083.0,BRADLEY_UNIVERSITY
operation_maintenance_expense,10477.0,BRADLEY_UNIVERSITY
depreciation_amortization_expense,13530.0,BRADLEY_UNIVERSITY
interest_expense,5401.0,BRADLEY_UNIVERSITY
non_op_realized_investment_net_with_donor,409.0,BRADLEY_UNIVERSITY
non_op_realized_investment_net_without_donor,48106.0,BRADLEY_UNIVERSITY
extraordinary_gain_or_loss,-6.0,BRADLEY_UNIVERSITY
net_assets_released_for_capital,,BRADLEY_UNIVERSITY
change_fair_value_derivatives,371.0,BRADLEY_UNIVERSITY
capital_grants_gifts,,BRADLEY_UNIVERSITY
change_net_assets_without_donor_restrictions,10123.0,BRADLEY_UNIVERSITY
change_net_assets_with_donor_restrictions,7807.0,BRADLEY_UNIVERSITY
total_change_in_net_assets,17930.0,BRADLEY_UNIVERSITY
other_non_op,,BRADLEY_UNIVERSITY
