Metric,2023-24,school
unit_multiplier,1000.0,CORNELL_UNIVERSITY
gross_tuition_revenue,926960.0,CORNELL_UNIVERSITY
financial_aid,365109.0,CORNELL_UNIVERSITY
net_tuition_revenue,904425.0,CORNELL_UNIVERSITY
government_grants_contracts_total,1094905.0,CORNELL_UNIVERSITY
private_gifts_grants_contracts,5424.0,CORNELL_UNIVERSITY
total_gifts_contracts_other_support,1432412.0,CORNELL_UNIVERSITY
state_appropriations,152674.0,CORNELL_UNIVERSITY
private_gifts_with_donor_restrictions,392950.0,CORNELL_UNIVERSITY
investment_income_operations,117998.0,CORNELL_UNIVERSITY
investment_income_total,278766.0,CORNELL_UNIVERSITY
investment_income_with_donor_restrictions,300011.0,CORNELL_UNIVERSITY
auxiliary_enterprise_revenue,201531.0,CORNELL_UNIVERSITY
healthcare_clinical_revenue,1361999.0,CORNELL_UNIVERSITY
net_assets_released_from_restrictions,643307.0,CORNELL_UNIVERSITY
other_operating_rev,902089.0,CORNELL_UNIVERSITY
total_operating_revenue,5409179.0,CORNELL_UNIVERSITY
instructional_expense,1878837.0,CORNELL_UNIVERSITY
research_expense,778565.0,CORNELL_UNIVERSITY
instructional_research_expense,2657402.0,CORNELL_UNIVERSITY
auxiliary_enterprise_expense,374010.0,CORNELL_UNIVERSITY
healthcare_clinical_expense,1544128.0,CORNELL_UNIVERSITY
academic_support,,CORNELL_UNIVERSITY
student_services,,CORNELL_UNIVERSITY
institutional_support,678978.0,CORNELL_UNIVERSITY
public_service_expense,156515.0,CORNELL_UNIVERSITY
student_aid_expense,,CORNELL_UNIVERSITY
total_operating_expense,5411033.0,CORNELL_UNIVERSITY
net_operating_income,-26681.0,CORNELL_UNIVERSITY
operation_maintenance_expense,158179.0,CORNELL_UNIVERSITY
depreciation_amortization_expense,308838.0,CORNELL_UNIVERSITY
interest_expense,66194.0,CORNELL_UNIVERSITY
non_op_realized_investment_net_with_donor,,CORNELL_UNIVERSITY
non_op_realized_investment_net_without_donor,,CORNELL_UNIVERSITY
extraordinary_gain_or_loss,,CORNELL_UNIVERSITY
net_assets_released_for_capital,20073.0,CORNELL_UNIVERSITY
change_fair_value_derivatives,42074.0,CORNELL_UNIVERSITY
capital_grants_gifts,400.0,CORNELL_UNIVERSITY
change_net_assets_without_donor_restrictions,71686.0,CORNELL_UNIVERSITY
change_net_assets_with_donor_restrictions,252088.0,CORNELL_UNIVERSITY
total_change_in_net_assets,323774.0,CORNELL_UNIVERSITY
other_non_op,,CORNELL_UNIVERSITY
