Metric,2023-24,school
unit_multiplier,1.0,CULINARY_INSTITUTE_OF_AMERICA_THE
gross_tuition_revenue,182806146.0,CULINARY_INSTITUTE_OF_AMERICA_THE
financial_aid,40832867.0,CULINARY_INSTITUTE_OF_AMERICA_THE
net_tuition_revenue,141973279.0,CULINARY_INSTITUTE_OF_AMERICA_THE
government_grants_contracts_total,680575.0,CULINARY_INSTITUTE_OF_AMERICA_THE
private_gifts_grants_contracts,6226987.0,CULINARY_INSTITUTE_OF_AMERICA_THE
total_gifts_contracts_other_support,6917562.0,CULINARY_INSTITUTE_OF_AMERICA_THE
state_appropriations,,CULINARY_INSTITUTE_OF_AMERICA_THE
private_gifts_with_donor_restrictions,2452466.0,CULINARY_INSTITUTE_OF_AMERICA_THE
investment_income_operations,4095593.0,CULINARY_INSTITUTE_OF_AMERICA_THE
investment_income_total,11228799.0,CULINARY_INSTITUTE_OF_AMERICA_THE
investment_income_with_donor_restrictions,3889776.0,CULINARY_INSTITUTE_OF_AMERICA_THE
auxiliary_enterprise_revenue,23598277.0,CULINARY_INSTITUTE_OF_AMERICA_THE
healthcare_clinical_revenue,,CULINARY_INSTITUTE_OF_AMERICA_THE
net_assets_released_from_restrictions,7132825.0,CULINARY_INSTITUTE_OF_AMERICA_THE
other_operating_rev,18014263.0,CULINARY_INSTITUTE_OF_AMERICA_THE
total_operating_revenue,178123591.0,CULINARY_INSTITUTE_OF_AMERICA_THE
instructional_expense,56078853.0,CULINARY_INSTITUTE_OF_AMERICA_THE
research_expense,,CULINARY_INSTITUTE_OF_AMERICA_THE
instructional_research_expense,,CULINARY_INSTITUTE_OF_AMERICA_THE
auxiliary_enterprise_expense,31950979.0,CULINARY_INSTITUTE_OF_AMERICA_THE
healthcare_clinical_expense,,CULINARY_INSTITUTE_OF_AMERICA_THE
academic_support,16088410.0,CULINARY_INSTITUTE_OF_AMERICA_THE
student_services,17598543.0,CULINARY_INSTITUTE_OF_AMERICA_THE
institutional_support,39168429.0,CULINARY_INSTITUTE_OF_AMERICA_THE
public_service_expense,,CULINARY_INSTITUTE_OF_AMERICA_THE
student_aid_expense,,CULINARY_INSTITUTE_OF_AMERICA_THE
total_operating_expense,160885214.0,CULINARY_INSTITUTE_OF_AMERICA_THE
net_operating_income,17238377.0,CULINARY_INSTITUTE_OF_AMERICA_THE
operation_maintenance_expense,,CULINARY_INSTITUTE_OF_AMERICA_THE
depreciation_amortization_expense,10112852.0,CULINARY_INSTITUTE_OF_AMERICA_THE
interest_expense,4767946.0,CULINARY_INSTITUTE_OF_AMERICA_THE
non_op_realized_investment_net_with_donor,4193140.0,CULINARY_INSTITUTE_OF_AMERICA_THE
non_op_realized_investment_net_without_donor,7133226.0,CULINARY_INSTITUTE_OF_AMERICA_THE
extraordinary_gain_or_loss,5426155.0,CULINARY_INSTITUTE_OF_AMERICA_THE
net_assets_released_for_capital,463415.0,CULINARY_INSTITUTE_OF_AMERICA_THE
change_fair_value_derivatives,,CULINARY_INSTITUTE_OF_AMERICA_THE
capital_grants_gifts,1751990.0,CULINARY_INSTITUTE_OF_AMERICA_THE
change_net_assets_without_donor_restrictions,32013163.0,CULINARY_INSTITUTE_OF_AMERICA_THE
change_net_assets_with_donor_restrictions,7309529.0,CULINARY_INSTITUTE_OF_AMERICA_THE
total_change_in_net_assets,39322692.0,CULINARY_INSTITUTE_OF_AMERICA_THE
other_non_op,,CULINARY_INSTITUTE_OF_AMERICA_THE
