Metric,2023-24,school
unit_multiplier,1000.0,GANNON_UNIVERSITY
gross_tuition_revenue,132134.0,GANNON_UNIVERSITY
financial_aid,55095.0,GANNON_UNIVERSITY
net_tuition_revenue,77039.0,GANNON_UNIVERSITY
government_grants_contracts_total,,GANNON_UNIVERSITY
private_gifts_grants_contracts,1286.0,GANNON_UNIVERSITY
total_gifts_contracts_other_support,6297.0,GANNON_UNIVERSITY
state_appropriations,,GANNON_UNIVERSITY
private_gifts_with_donor_restrictions,884.0,GANNON_UNIVERSITY
investment_income_operations,1703.0,GANNON_UNIVERSITY
investment_income_total,4447.0,GANNON_UNIVERSITY
investment_income_with_donor_restrictions,2165.0,GANNON_UNIVERSITY
auxiliary_enterprise_revenue,14648.0,GANNON_UNIVERSITY
healthcare_clinical_revenue,,GANNON_UNIVERSITY
net_assets_released_from_restrictions,3102.0,GANNON_UNIVERSITY
other_operating_rev,2675.0,GANNON_UNIVERSITY
total_operating_revenue,104975.0,GANNON_UNIVERSITY
instructional_expense,42596.0,GANNON_UNIVERSITY
research_expense,1013.0,GANNON_UNIVERSITY
instructional_research_expense,43609.0,GANNON_UNIVERSITY
auxiliary_enterprise_expense,1356.0,GANNON_UNIVERSITY
healthcare_clinical_expense,,GANNON_UNIVERSITY
academic_support,10138.0,GANNON_UNIVERSITY
student_services,21597.0,GANNON_UNIVERSITY
institutional_support,16566.0,GANNON_UNIVERSITY
public_service_expense,1803.0,GANNON_UNIVERSITY
student_aid_expense,,GANNON_UNIVERSITY
total_operating_expense,106698.0,GANNON_UNIVERSITY
net_operating_income,1379.0,GANNON_UNIVERSITY
operation_maintenance_expense,,GANNON_UNIVERSITY
depreciation_amortization_expense,7401.0,GANNON_UNIVERSITY
interest_expense,3560.0,GANNON_UNIVERSITY
non_op_realized_investment_net_with_donor,4842.0,GANNON_UNIVERSITY
non_op_realized_investment_net_without_donor,493.0,GANNON_UNIVERSITY
extraordinary_gain_or_loss,,GANNON_UNIVERSITY
net_assets_released_for_capital,291.0,GANNON_UNIVERSITY
change_fair_value_derivatives,,GANNON_UNIVERSITY
capital_grants_gifts,,GANNON_UNIVERSITY
change_net_assets_without_donor_restrictions,2092.0,GANNON_UNIVERSITY
change_net_assets_with_donor_restrictions,6303.0,GANNON_UNIVERSITY
total_change_in_net_assets,8395.0,GANNON_UNIVERSITY
other_non_op,,GANNON_UNIVERSITY
