Metric,2023-24,school
unit_multiplier,1.0,MOLLOY_COLLEGE
gross_tuition_revenue,154214957.0,MOLLOY_COLLEGE
financial_aid,39984916.0,MOLLOY_COLLEGE
net_tuition_revenue,114230141.0,MOLLOY_COLLEGE
government_grants_contracts_total,3036891.0,MOLLOY_COLLEGE
private_gifts_grants_contracts,357376.0,MOLLOY_COLLEGE
total_gifts_contracts_other_support,3954267.0,MOLLOY_COLLEGE
state_appropriations,,MOLLOY_COLLEGE
private_gifts_with_donor_restrictions,4195425.0,MOLLOY_COLLEGE
investment_income_operations,2345307.0,MOLLOY_COLLEGE
investment_income_total,5963815.0,MOLLOY_COLLEGE
investment_income_with_donor_restrictions,871084.0,MOLLOY_COLLEGE
auxiliary_enterprise_revenue,5478440.0,MOLLOY_COLLEGE
healthcare_clinical_revenue,,MOLLOY_COLLEGE
net_assets_released_from_restrictions,4024922.0,MOLLOY_COLLEGE
other_operating_rev,1492357.0,MOLLOY_COLLEGE
total_operating_revenue,133555173.0,MOLLOY_COLLEGE
instructional_expense,63326276.0,MOLLOY_COLLEGE
research_expense,,MOLLOY_COLLEGE
instructional_research_expense,,MOLLOY_COLLEGE
auxiliary_enterprise_expense,8217527.0,MOLLOY_COLLEGE
healthcare_clinical_expense,,MOLLOY_COLLEGE
academic_support,24824463.0,MOLLOY_COLLEGE
student_services,16478122.0,MOLLOY_COLLEGE
institutional_support,19043030.0,MOLLOY_COLLEGE
public_service_expense,,MOLLOY_COLLEGE
student_aid_expense,,MOLLOY_COLLEGE
total_operating_expense,132236747.0,MOLLOY_COLLEGE
net_operating_income,1318426.0,MOLLOY_COLLEGE
operation_maintenance_expense,,MOLLOY_COLLEGE
depreciation_amortization_expense,8078552.0,MOLLOY_COLLEGE
interest_expense,3780500.0,MOLLOY_COLLEGE
non_op_realized_investment_net_with_donor,,MOLLOY_COLLEGE
non_op_realized_investment_net_without_donor,3963815.0,MOLLOY_COLLEGE
extraordinary_gain_or_loss,,MOLLOY_COLLEGE
net_assets_released_for_capital,52994.0,MOLLOY_COLLEGE
change_fair_value_derivatives,,MOLLOY_COLLEGE
capital_grants_gifts,250000.0,MOLLOY_COLLEGE
change_net_assets_without_donor_restrictions,5585235.0,MOLLOY_COLLEGE
change_net_assets_with_donor_restrictions,988593.0,MOLLOY_COLLEGE
total_change_in_net_assets,6573828.0,MOLLOY_COLLEGE
other_non_op,,MOLLOY_COLLEGE
